Date,Close
7/20/17,2817.6
7/21/17,2667.76
7/22/17,2810.12
7/23/17,2730.4
7/24/17,2754.86
7/25/17,2576.48
7/26/17,2529.45
7/27/17,2671.78
7/28/17,2809.01
7/29/17,2726.45
7/30/17,2757.18
7/31/17,2875.34
8/1/17,2718.26
8/2/17,2710.67
8/3/17,2804.73
8/4/17,2895.89
8/5/17,3252.91
8/6/17,3213.94
8/7/17,3378.94
8/8/17,3419.94
8/9/17,3342.47
8/10/17,3381.28
8/11/17,3650.62
8/12/17,3884.71
8/13/17,4073.26
8/14/17,4325.13
8/15/17,4181.93
8/16/17,4376.63
8/17/17,4331.69
8/18/17,4160.62
8/19/17,4193.7
8/20/17,4087.66
8/21/17,4001.74
8/22/17,4100.52
8/23/17,4151.52
8/24/17,4334.68
8/25/17,4371.6
8/26/17,4352.4
8/27/17,4382.88
8/28/17,4382.66
8/29/17,4579.02
8/30/17,4565.3
8/31/17,4703.39
9/1/17,4892.01
9/2/17,4578.77
9/3/17,4582.96
9/4/17,4236.31
9/5/17,4376.53
9/6/17,4597.12
9/7/17,4599.88
9/8/17,4228.75
9/9/17,4226.06
9/10/17,4122.94
9/11/17,4161.27
9/12/17,4130.81
9/13/17,3882.59
9/14/17,3154.95
9/15/17,3637.52
9/16/17,3625.04
9/17/17,3582.88
9/18/17,4065.2
9/19/17,3924.97
9/20/17,3905.95
9/21/17,3631.04
9/22/17,3630.7
9/23/17,3792.4
9/24/17,3682.84
9/25/17,3926.07
9/26/17,3892.35
9/27/17,4200.67
9/28/17,4174.73
9/29/17,4163.07
9/30/17,4338.71
10/1/17,4403.74
10/2/17,4409.32
10/3/17,4317.48
10/4/17,4229.36
10/5/17,4328.41
10/6/17,4370.81
10/7/17,4426.89
10/8/17,4610.48
10/9/17,4772.02
10/10/17,4781.99
10/11/17,4826.48
10/12/17,5446.91
10/13/17,5647.21
10/14/17,5831.79
10/15/17,5678.19
10/16/17,5725.59
10/17/17,5605.51
10/18/17,5590.69
10/19/17,5708.52
10/20/17,6011.45
10/21/17,6031.6
10/22/17,6008.42
10/23/17,5930.32
10/24/17,5526.64
10/25/17,5750.8
10/26/17,5904.83
10/27/17,5780.9
10/28/17,5753.09
10/29/17,6153.85
10/30/17,6130.53
10/31/17,6468.4
11/1/17,6767.31
11/2/17,7078.5
11/3/17,7207.76
11/4/17,7379.95
11/5/17,7407.41
11/6/17,7022.76
11/7/17,7144.38
11/8/17,7459.69
11/9/17,7143.58
11/10/17,6618.14
11/11/17,6357.6
11/12/17,5950.07
11/13/17,6559.49
11/14/17,6635.75
11/15/17,7315.54
11/16/17,7871.69
11/17/17,7708.99
11/18/17,7790.15
11/19/17,8036.49
11/20/17,8200.64
11/21/17,8071.26
11/22/17,8253.55
11/23/17,8038.77
11/24/17,8253.69
11/25/17,8790.92
11/26/17,9330.55
11/27/17,9818.35
11/28/17,10058.8
11/29/17,9888.61
11/30/17,10233.6
12/1/17,10975.6
12/2/17,11074.6
12/3/17,11323.2
12/4/17,11657.2
12/5/17,11916.7
12/6/17,14291.5
12/7/17,17899.7
12/8/17,16569.4
12/9/17,15178.2
12/10/17,15455.4
12/11/17,16936.8
12/12/17,17415.4
12/13/17,16408.2
12/14/17,16564
12/15/17,17706.9
12/16/17,19497.4
12/17/17,19140.8
12/18/17,19114.2
12/19/17,17776.7
12/20/17,16624.6
12/21/17,15802.9
12/22/17,13831.8
12/23/17,14699.2
12/24/17,13925.8
12/25/17,14026.6
12/26/17,16099.8
12/27/17,15838.5
12/28/17,14606.5
12/29/17,14656.2
12/30/17,12952.2
12/31/17,14156.4
1/1/18,13657.2
1/2/18,14982.1
